name,componente,codigo_cmn,n_decreto,categoria,fecha_decreto,nombre,codigo_raiz,observacion_division_politica_administrativa,tipo_de_decreto,fecha_de_publicacion_en_el_diario_oficial,superficie_oficial_en_hectareas,superficie_oficial_en_metros_cuadrados,lon,lat
"Casa  y Parque del Instituto Cultural de las Condes, ex Chacra el Rosario.",No aplica,00268_MH_13114,68,Monumento Histórico,12-01-1981,"Casa  y Parque del Instituto Cultural de las Condes, ex Chacra el Rosario.",No aplica,Sin Observaciones,Decreto Supremo,24-02-1981,0,0,-70.5619841,-33.40648895
Iglesia y conjunto de edificios del Monasterio Benedictino,Iglesia,00283_MH_13114,1661,Monumento Histórico,09-04-1981,Iglesia y conjunto de edificios del Monasterio Benedictino,No aplica,Sin Observaciones,Decreto Supremo,23-05-1981,0,0,-70.51325177,-33.38441976
Iglesia y conjunto de edificios del Monasterio Benedictino,Edificios del Monasterio,00284_MH_13114,1661,Monumento Histórico,09-04-1981,Iglesia y conjunto de edificios del Monasterio Benedictino,00283_MH_13114,Sin Observaciones,Decreto Supremo,23-05-1981,0,0,-70.51350671,-33.38435938
Casona de Las Condes,No aplica,00313_MH_13114,2156,Monumento Histórico,21-06-1982,Casona de Las Condes,No aplica,Sin Observaciones,Decreto Supremo,28-07-1982,"1,14",11400,-70.50531222,-33.37543963
Iglesia de San Vicente Ferrer de Los Dominicos,No aplica,00339_MH_13114,1296,Monumento Histórico,15-11-1983,Iglesia de San Vicente Ferrer de Los Dominicos,No aplica,Sin Observaciones,Decreto Supremo,02-02-1984,0,0,-70.54193855,-33.40762484
Iglesia y Claustro de San Agustín de Melipilla,Iglesia,00465_MH_13501,283,Monumento Histórico,22-06-1988,Iglesia y Claustro de San Agustín de Melipilla,No aplica,Sin Observaciones,Decreto Supremo,11-08-1988,0,0,-71.21068892,-33.68655448
Iglesia y Claustro de San Agustín de Melipilla,Claustro,00466_MH_13501,283,Monumento Histórico,22-06-1988,Iglesia y Claustro de San Agustín de Melipilla,00465_MH_13501,Sin Observaciones,Decreto Supremo,11-08-1988,0,0,-71.21068892,-33.68655448
Casa de la Cultura de Ñuñoa (Palacio Ossa),No aplica,00121_MH_13120,723,Monumento Histórico,15-06-1973,Casa de la Cultura de Ñuñoa (Palacio Ossa),No aplica,Sin Observaciones,Decreto Supremo,13-08-1973,0,0,-70.58735232,-33.45637063
Casa Esquina del ex Fundo Rangue,No aplica,00802_MH_13404,189,Monumento Histórico,25-04-2001,Casa Esquina del ex Fundo Rangue,No aplica,Sin Observaciones,Decreto Exento,12-05-2001,"0,2566","2566,7",-70.95068872,-33.8445138
Iglesia del Tránsito de la Santísima Virgen María,No aplica,00651_MH_13404,77,Monumento Histórico,29-01-1996,Iglesia del Tránsito de la Santísima Virgen María,No aplica,Sin Observaciones,Decreto Exento,12-02-1996,0,0,-70.67169181,-33.77337644
Casa patronal  ex chacra Ochagavía,No aplica,00632_MH_13121,367,Monumento Histórico,12-06-1995,Casa patronal  ex chacra Ochagavía,No aplica,Sin Observaciones,Decreto Exento,01-07-1995,0,0,-70.66361464,-33.48754923
Casas y Parque de Peñalolén (Parque Arrieta),No aplica,00536_MH_13122,330,Monumento Histórico,04-09-1991,Casas y Parque de Peñalolén (Parque Arrieta),No aplica,Sin Observaciones,Decreto Supremo,23-10-1991,0,0,-70.52137318,-33.46843412
Casa y Parque del Llano de Pirque,No aplica,00065_MH_13202,1749,Monumento Histórico,26-07-1971,Casa y Parque del Llano de Pirque,No aplica,Sin Observaciones,Decreto Supremo,0:00:00,0,0,-70.57448191,-33.6344899
Iglesia de Nuestra Señora de La Divina Providencia y casa parroquial,Casa Parroquial,00150_MH_13123,513,Monumento Histórico,13-06-1975,Iglesia de Nuestra Señora de La Divina Providencia y casa parroquial,00149_MH_13123,Sin Observaciones,Decreto Supremo,30-07-1975,0,0,-70.61655631,-33.42756411
Mural de Pedro Lira,No aplica,00151_MH_13123,513,Monumento Histórico,13-06-1975,Mural de Pedro Lira,No aplica,Sin Observaciones,Decreto Supremo,30-07-1975,0,0,-70.60595148,-33.4203709
